,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
1094180,Ireland,Electricity - Final energy consumption,1992,"Kilowatt-hours, million",13207.0,,total_electricity
435470,Mongolia,Gas Oil/ Diesel Oil - Final consumption,1991,"Metric tons,  thousand",264.0,1.0,gas_oil_diesel_oil
1184779,France,White spirit and special boiling point industrial spirits - production from refineries,2005,"Metric tons,  thousand",156.0,,white_spirit_and_special_boiling_point_industrial_spirits
342575,Canada,Fuelwood - Consumption by other,2012,"Cubic metres, thousand",16476.299945,1.0,fuelwood
283634,United States,Fuel oil - Consumption not elsewhere specified (industry),1996,"Metric tons,  thousand",1413.0,,fuel_oil
824007,Syrian Arab Republic,Natural gas (including LNG) - non-energy uses,2005,Terajoules,47659.0007,,natural_gas_including_lng
1036558,South Africa,Electricity - total thermal production,2001,"Kilowatt-hours, million",195469.0,,thermal_electricity
665756,Belize,Liquefied petroleum gas (LPG) - Total energy supply,2005,"Metric tons,  thousand",13.5,1.0,liquified_petroleum_gas
541623,Mongolia,Heat - Consumption by commerce and public services,2005,Terajoules,5757.26868,,heat
82954,Spain,Black Liquor - Final energy consumption,1992,Terajoules,23325.0,1.0,black_liquor
854367,Croatia,Natural gas liquids - Transformation in oil refineries,2012,"Metric tons,  thousand",23.0,,natural_gas_liquids
863518,Croatia,Other bituminous coal - consumption by iron and steel industry,1992,"Metric tons,  thousand",3.0,,other_bituminous_coal
701261,Croatia,Lubricants - Stock changes,2007,"Metric tons,  thousand",-1.0,,lubricants
1058961,Australia,Electricity - Consumption by non-ferrous metals,2000,"Kilowatt-hours, million",35760.0,,total_electricity
902994,Poland,Other kerosene - Energy industries own use,1999,"Metric tons,  thousand",1.0,,other_kerosene
1060866,Sweden,Electricity - Consumption by non-metallic minerals,2011,"Kilowatt-hours, million",1021.0,,total_electricity
285761,Dominican Republic,Fuel oil - Energy industries own use,2000,"Metric tons,  thousand",0.0,,fuel_oil
799649,Spain,"Natural gas (including LNG) - consumption by other manuf., const. and non-fuel ind.",2007,Terajoules,318829.0,,natural_gas_including_lng
652266,Ireland,Liquefied petroleum gas (LPG) - Imports,2014,"Metric tons,  thousand",98.0,,liquified_petroleum_gas
1099802,Japan,Electricity - Gross demand,1998,"Kilowatt-hours, million",964410.0,,total_electricity
112351,Netherlands,Brown coal - final consumption,1998,"Metric tons,  thousand",6.0,,brown_coal
1009343,Greece,Feedstocks - transformation in oil refineries,1993,"Metric tons,  thousand",2965.0,,refinery_feedstocks
890391,Panama,Other kerosene - Consumption by households,1994,"Metric tons,  thousand",8.0,1.0,other_kerosene
636429,South Africa,Liquefied petroleum gas (LPG) - Consumption by other consumers not elsewhere specified,1998,"Metric tons,  thousand",61.0,,liquified_petroleum_gas
834415,Russian Federation,Natural gas (including LNG) - total energy supply,2013,Terajoules,18382870.0,,natural_gas_including_lng
